NumThreads,Result,Time,
1,1.49439e+17,2.37167,
2,1.49439e+17,1.2769,
4,1.49439e+17,0.751799,
8,1.49439e+17,0.405596,
16,1.49439e+17,0.219938,
1,1.49439e+17,2.14411,
2,1.49439e+17,1.29494,
4,1.49439e+17,0.738413,
8,1.49439e+17,0.404722,
16,1.49439e+17,0.218571,
1,1.49439e+17,2.14626,
2,1.49439e+17,1.26682,
4,1.49439e+17,0.742071,
8,1.49439e+17,0.406134,
16,1.49439e+17,0.220004,
1,1.49439e+17,2.17717,
2,1.49439e+17,1.28782,
4,1.49439e+17,0.743331,
8,1.49439e+17,0.40998,
16,1.49439e+17,0.219408,
1,1.49439e+17,2.14599,
2,1.49439e+17,1.27791,
4,1.49439e+17,0.755443,
8,1.49439e+17,0.408005,
16,1.49439e+17,0.219397,
1,1.49439e+17,2.14366,
2,1.49439e+17,1.30665,
4,1.49439e+17,0.742379,
8,1.49439e+17,0.409625,
16,1.49439e+17,0.218949,
1,1.49439e+17,2.14549,
2,1.49439e+17,1.29445,
4,1.49439e+17,0.73981,
8,1.49439e+17,0.404176,
16,1.49439e+17,0.218076,
1,1.49439e+17,2.23082,
2,1.49439e+17,1.26945,
4,1.49439e+17,0.747976,
8,1.49439e+17,0.405062,
16,1.49439e+17,0.218485,
1,1.49439e+17,2.14216,
2,1.49439e+17,1.28332,
4,1.49439e+17,0.778538,
8,1.49439e+17,0.518129,
16,1.49439e+17,0.219616,
1,1.49439e+17,2.16838,
2,1.49439e+17,1.28323,
4,1.49439e+17,0.756848,
8,1.49439e+17,0.408973,
16,1.49439e+17,0.218915,
1,1.49439e+17,2.14338,
2,1.49439e+17,1.28582,
4,1.49439e+17,0.76141,
8,1.49439e+17,0.411669,
16,1.49439e+17,0.218563,
1,1.49439e+17,2.1418,
2,1.49439e+17,1.27826,
4,1.49439e+17,0.750515,
8,1.49439e+17,0.408432,
16,1.49439e+17,0.219681,
1,1.49439e+17,2.25041,
2,1.49439e+17,1.26648,
4,1.49439e+17,0.759583,
8,1.49439e+17,0.404976,
16,1.49439e+17,0.219534,
1,1.49439e+17,2.20363,
2,1.49439e+17,1.2742,
4,1.49439e+17,0.755035,
8,1.49439e+17,0.407016,
16,1.49439e+17,0.219817,
