NumThreads,Result,Time,
1,1.49439e+17,0.733976,
2,1.49439e+17,0.389014,
4,1.49439e+17,0.210417,
8,1.49439e+17,0.122287,
16,1.49439e+17,0.127967,
1,1.49439e+17,0.712095,
2,1.49439e+17,0.389904,
4,1.49439e+17,0.210352,
8,1.49439e+17,0.125049,
16,1.49439e+17,0.126086,
1,1.49439e+17,0.75215,
2,1.49439e+17,0.39027,
4,1.49439e+17,0.211189,
8,1.49439e+17,0.12413,
16,1.49439e+17,0.124447,
1,1.49439e+17,0.746885,
2,1.49439e+17,0.390584,
4,1.49439e+17,0.210749,
8,1.49439e+17,0.180478,
16,1.49439e+17,0.102803,
1,1.49439e+17,0.651233,
2,1.49439e+17,0.384604,
4,1.49439e+17,0.263137,
8,1.49439e+17,0.191066,
16,1.49439e+17,0.103742,
1,1.49439e+17,0.750615,
2,1.49439e+17,0.390285,
4,1.49439e+17,0.221468,
8,1.49439e+17,0.126526,
16,1.49439e+17,0.100664,
1,1.49439e+17,0.680663,
2,1.49439e+17,0.389106,
4,1.49439e+17,0.209632,
8,1.49439e+17,0.132079,
16,1.49439e+17,0.103743,
1,1.49439e+17,0.706956,
2,1.49439e+17,0.389828,
4,1.49439e+17,0.211807,
8,1.49439e+17,0.128075,
16,1.49439e+17,0.125132,
1,1.49439e+17,0.675587,
2,1.49439e+17,0.388608,
4,1.49439e+17,0.23571,
8,1.49439e+17,0.125484,
16,1.49439e+17,0.122877,
1,1.49439e+17,0.71903,
2,1.49439e+17,0.390166,
4,1.49439e+17,0.224921,
8,1.49439e+17,0.1246,
16,1.49439e+17,0.116513,
1,1.49439e+17,0.519577,
2,1.49439e+17,0.391412,
4,1.49439e+17,0.209792,
8,1.49439e+17,0.123807,
16,1.49439e+17,0.0853037,
1,1.49439e+17,0.651926,
2,1.49439e+17,0.390712,
4,1.49439e+17,0.223968,
8,1.49439e+17,0.123992,
16,1.49439e+17,0.104679,
1,1.49439e+17,0.654228,
2,1.49439e+17,0.390837,
4,1.49439e+17,0.210798,
8,1.49439e+17,0.156474,
16,1.49439e+17,0.125346,
1,1.49439e+17,0.705808,
2,1.49439e+17,0.389493,
4,1.49439e+17,0.209495,
8,1.49439e+17,0.127813,
16,1.49439e+17,0.126777,
1,1.49439e+17,0.623622,
2,1.49439e+17,0.39116,
4,1.49439e+17,0.221626,
8,1.49439e+17,0.122127,
16,1.49439e+17,0.162282,
1,1.49439e+17,0.609437,
2,1.49439e+17,0.391548,
4,1.49439e+17,0.212582,
8,1.49439e+17,0.128158,
16,1.49439e+17,0.121278,
1,1.49439e+17,0.708145,
2,1.49439e+17,0.390591,
4,1.49439e+17,0.223798,
8,1.49439e+17,0.123187,
16,1.49439e+17,0.0767012,
1,1.49439e+17,0.69054,
2,1.49439e+17,0.390707,
4,1.49439e+17,0.242511,
8,1.49439e+17,0.126964,
16,1.49439e+17,0.0975675,
1,1.49439e+17,0.563895,
2,1.49439e+17,0.390046,
4,1.49439e+17,0.210842,
8,1.49439e+17,0.130271,
16,1.49439e+17,0.108207,
1,1.49439e+17,0.541473,
2,1.49439e+17,0.392306,
4,1.49439e+17,0.221159,
8,1.49439e+17,0.124317,
16,1.49439e+17,0.0791069,
1,1.49439e+17,0.549697,
2,1.49439e+17,0.388829,
4,1.49439e+17,0.211247,
8,1.49439e+17,0.126232,
16,1.49439e+17,0.129159,
1,1.49439e+17,0.696816,
2,1.49439e+17,0.38872,
4,1.49439e+17,0.211032,
8,1.49439e+17,0.127746,
16,1.49439e+17,0.132054,
1,1.49439e+17,0.73936,
2,1.49439e+17,0.389137,
4,1.49439e+17,0.212541,
8,1.49439e+17,0.125334,
16,1.49439e+17,0.134137,
1,1.49439e+17,0.645955,
2,1.49439e+17,0.391935,
4,1.49439e+17,0.210173,
8,1.49439e+17,0.160403,
16,1.49439e+17,0.111458,
1,1.49439e+17,0.679699,
2,1.49439e+17,0.389371,
4,1.49439e+17,0.208737,
8,1.49439e+17,0.195764,
16,1.49439e+17,0.118371,
1,1.49439e+17,0.696004,
2,1.49439e+17,0.38909,
4,1.49439e+17,0.211726,
8,1.49439e+17,0.127077,
16,1.49439e+17,0.12068,
1,1.49439e+17,0.688844,
2,1.49439e+17,0.389838,
4,1.49439e+17,0.210676,
8,1.49439e+17,0.160563,
16,1.49439e+17,0.121163,
1,1.49439e+17,0.707785,
2,1.49439e+17,0.389818,
4,1.49439e+17,0.221032,
8,1.49439e+17,0.126898,
16,1.49439e+17,0.127186,
1,1.49439e+17,0.718514,
2,1.49439e+17,0.39008,
4,1.49439e+17,0.261749,
8,1.49439e+17,0.124194,
16,1.49439e+17,0.101863,
1,1.49439e+17,0.721955,
2,1.49439e+17,0.391954,
4,1.49439e+17,0.2133,
8,1.49439e+17,0.132733,
16,1.49439e+17,0.12036,
1,1.49439e+17,0.740258,
2,1.49439e+17,0.389428,
4,1.49439e+17,0.225485,
8,1.49439e+17,0.172904,
16,1.49439e+17,0.132537,
1,1.49439e+17,0.66982,
2,1.49439e+17,0.389916,
4,1.49439e+17,0.220831,
8,1.49439e+17,0.147745,
16,1.49439e+17,0.116144,
1,1.49439e+17,0.680259,
2,1.49439e+17,0.389389,
4,1.49439e+17,0.210077,
8,1.49439e+17,0.124146,
16,1.49439e+17,0.12553,
1,1.49439e+17,0.72326,
2,1.49439e+17,0.390592,
4,1.49439e+17,0.220799,
8,1.49439e+17,0.157866,
16,1.49439e+17,0.126448,
1,1.49439e+17,0.675522,
2,1.49439e+17,0.390031,
4,1.49439e+17,0.211311,
8,1.49439e+17,0.125793,
16,1.49439e+17,0.105884,
1,1.49439e+17,0.720551,
2,1.49439e+17,0.389157,
