NumThreads,Result,Time,
1,1.49439e+17,0.928225,
2,1.49439e+17,0.539228,
4,1.49439e+17,0.301708,
8,1.49439e+17,0.162367,
16,1.49439e+17,0.152599,
1,1.49439e+17,0.913607,
2,1.49439e+17,0.413258,
4,1.49439e+17,0.313354,
8,1.49439e+17,0.19327,
16,1.49439e+17,0.168447,
1,1.49439e+17,0.773623,
2,1.49439e+17,0.542011,
4,1.49439e+17,0.314082,
8,1.49439e+17,0.21259,
16,1.49439e+17,0.127042,
1,1.49439e+17,0.927544,
2,1.49439e+17,0.540364,
4,1.49439e+17,0.299569,
8,1.49439e+17,0.159052,
16,1.49439e+17,0.0971544,
1,1.49439e+17,0.754446,
2,1.49439e+17,0.539271,
4,1.49439e+17,0.299597,
8,1.49439e+17,0.160413,
16,1.49439e+17,0.134731,
1,1.49439e+17,0.918878,
2,1.49439e+17,0.422774,
4,1.49439e+17,0.31285,
8,1.49439e+17,0.159424,
16,1.49439e+17,0.115496,
1,1.49439e+17,0.95799,
2,1.49439e+17,0.539864,
4,1.49439e+17,0.313897,
8,1.49439e+17,0.161362,
16,1.49439e+17,0.173207,
1,1.49439e+17,0.932379,
2,1.49439e+17,0.539206,
4,1.49439e+17,0.302071,
8,1.49439e+17,0.16318,
16,1.49439e+17,0.142303,
1,1.49439e+17,0.91275,
2,1.49439e+17,0.539684,
4,1.49439e+17,0.298234,
8,1.49439e+17,0.159689,
16,1.49439e+17,0.0962992,
1,1.49439e+17,0.755625,
2,1.49439e+17,0.415125,
4,1.49439e+17,0.285598,
8,1.49439e+17,0.212217,
16,1.49439e+17,0.131399,
1,1.49439e+17,0.717549,
2,1.49439e+17,0.538699,
4,1.49439e+17,0.316075,
8,1.49439e+17,0.168345,
16,1.49439e+17,0.133495,
1,1.49439e+17,0.966508,
2,1.49439e+17,0.544133,
4,1.49439e+17,0.314027,
8,1.49439e+17,0.209895,
16,1.49439e+17,0.159628,
1,1.49439e+17,0.975962,
2,1.49439e+17,0.53914,
4,1.49439e+17,0.313876,
8,1.49439e+17,0.165627,
16,1.49439e+17,0.140815,
1,1.49439e+17,0.920585,
2,1.49439e+17,0.539063,
4,1.49439e+17,0.299644,
8,1.49439e+17,0.161722,
16,1.49439e+17,0.161972,
1,1.49439e+17,0.927835,
2,1.49439e+17,0.60843,
4,1.49439e+17,0.284434,
8,1.49439e+17,0.253218,
16,1.49439e+17,0.173104,
1,1.49439e+17,0.896504,
2,1.49439e+17,0.54198,
4,1.49439e+17,0.303796,
8,1.49439e+17,0.167597,
16,1.49439e+17,0.141466,
1,1.49439e+17,0.98613,
2,1.49439e+17,0.542035,
4,1.49439e+17,0.313354,
8,1.49439e+17,0.157908,
16,1.49439e+17,0.151747,
1,1.49439e+17,0.970548,
2,1.49439e+17,0.538455,
4,1.49439e+17,0.316386,
8,1.49439e+17,0.15937,
16,1.49439e+17,0.152597,
1,1.49439e+17,0.753932,
2,1.49439e+17,0.53835,
4,1.49439e+17,0.313179,
8,1.49439e+17,0.157879,
16,1.49439e+17,0.139709,
1,1.49439e+17,0.967879,
2,1.49439e+17,0.534083,
4,1.49439e+17,0.300334,
8,1.49439e+17,0.209118,
16,1.49439e+17,0.190973,
1,1.49439e+17,0.936689,
2,1.49439e+17,0.539393,
4,1.49439e+17,0.301932,
8,1.49439e+17,0.158373,
16,1.49439e+17,0.153203,
1,1.49439e+17,0.91885,
2,1.49439e+17,0.539267,
4,1.49439e+17,0.285549,
8,1.49439e+17,0.161911,
16,1.49439e+17,0.165586,
1,1.49439e+17,0.893226,
2,1.49439e+17,0.5404,
4,1.49439e+17,0.300534,
8,1.49439e+17,0.162825,
16,1.49439e+17,0.13123,
1,1.49439e+17,0.96097,
2,1.49439e+17,0.539805,
4,1.49439e+17,0.315214,
8,1.49439e+17,0.161198,
16,1.49439e+17,0.148767,
1,1.49439e+17,0.881339,
2,1.49439e+17,0.538217,
4,1.49439e+17,0.314738,
8,1.49439e+17,0.169669,
16,1.49439e+17,0.135515,
1,1.49439e+17,0.935563,
2,1.49439e+17,0.492526,
4,1.49439e+17,0.313489,
8,1.49439e+17,0.161767,
16,1.49439e+17,0.132679,
1,1.49439e+17,0.890816,
2,1.49439e+17,0.539152,
4,1.49439e+17,0.305085,
8,1.49439e+17,0.16209,
16,1.49439e+17,0.154832,
1,1.49439e+17,0.885133,
2,1.49439e+17,0.538496,
4,1.49439e+17,0.304808,
8,1.49439e+17,0.209248,
16,1.49439e+17,0.136208,
1,1.49439e+17,0.837273,
2,1.49439e+17,0.539234,
4,1.49439e+17,0.303564,
8,1.49439e+17,0.160117,
16,1.49439e+17,0.167163,
1,1.49439e+17,0.838475,
2,1.49439e+17,0.540389,
4,1.49439e+17,0.314064,
8,1.49439e+17,0.161654,
16,1.49439e+17,0.13813,
1,1.49439e+17,0.852592,
2,1.49439e+17,0.538266,
4,1.49439e+17,0.31472,
8,1.49439e+17,0.159726,
16,1.49439e+17,0.164653,
1,1.49439e+17,0.909303,
2,1.49439e+17,0.540026,
4,1.49439e+17,0.313585,
8,1.49439e+17,0.198182,
16,1.49439e+17,0.177294,
1,1.49439e+17,0.776457,
2,1.49439e+17,0.537853,
4,1.49439e+17,0.313186,
8,1.49439e+17,0.159588,
16,1.49439e+17,0.151129,
1,1.49439e+17,0.920462,
2,1.49439e+17,0.477122,
4,1.49439e+17,0.313225,
8,1.49439e+17,0.161901,
16,1.49439e+17,0.161434,
1,1.49439e+17,0.890297,
2,1.49439e+17,0.539528,
4,1.49439e+17,0.303602,
8,1.49439e+17,0.160552,
16,1.49439e+17,0.144093,
1,1.49439e+17,0.974161,
2,1.49439e+17,0.538487,
4,1.49439e+17,0.313406,
8,1.49439e+17,0.157412,
16,1.49439e+17,0.157548,
1,1.49439e+17,0.931853,
2,1.49439e+17,0.540785,
4,1.49439e+17,0.298805,
8,1.49439e+17,0.20701,
16,1.49439e+17,0.136289,
1,1.49439e+17,0.933108,
2,1.49439e+17,0.539072,
4,1.49439e+17,0.31276,
8,1.49439e+17,0.156217,
16,1.49439e+17,0.155876,
1,1.49439e+17,0.946022,
2,1.49439e+17,0.567681,
4,1.49439e+17,0.315084,
8,1.49439e+17,0.161772,
16,1.49439e+17,0.140099,
1,1.49439e+17,0.897272,
2,1.49439e+17,0.539453,
4,1.49439e+17,0.28606,
8,1.49439e+17,0.201269,
16,1.49439e+17,0.161063,
1,1.49439e+17,0.919813,
2,1.49439e+17,0.581108,
4,1.49439e+17,0.283718,
8,1.49439e+17,0.158041,
16,1.49439e+17,0.124493,
1,1.49439e+17,0.849564,
2,1.49439e+17,0.540073,
4,1.49439e+17,0.302042,
8,1.49439e+17,0.211156,
16,1.49439e+17,0.137319,
1,1.49439e+17,0.939214,
2,1.49439e+17,0.540544,
4,1.49439e+17,0.337929,
8,1.49439e+17,0.161079,
16,1.49439e+17,0.154364,
1,1.49439e+17,0.871386,
2,1.49439e+17,0.540113,
4,1.49439e+17,0.315949,
8,1.49439e+17,0.171111,
