NumThreads,Result,Time,
1,8.07964e+11,0.0167405,
2,8.07964e+11,0.0132117,
4,8.07964e+11,0.00706692,
8,8.07964e+11,0.00362148,
16,8.07964e+11,0.00229446,
1,8.07964e+11,0.0112641,
2,8.07964e+11,0.0110312,
4,8.07964e+11,0.00620124,
8,8.07964e+11,0.00342802,
16,8.07964e+11,0.00214545,
1,8.07964e+11,0.0113536,
2,8.07964e+11,0.0137388,
4,8.07964e+11,0.0066204,
8,8.07964e+11,0.00372131,
16,8.07964e+11,0.00225224,
1,8.07964e+11,0.0114775,
2,8.07964e+11,0.0126991,
4,8.07964e+11,0.00604185,
8,8.07964e+11,0.00326382,
16,8.07964e+11,0.00216604,
1,8.07964e+11,0.0113245,
2,8.07964e+11,0.0134772,
4,8.07964e+11,0.00637452,
8,8.07964e+11,0.00327406,
16,8.07964e+11,0.00223282,
1,8.07964e+11,0.0113255,
2,8.07964e+11,0.0118857,
4,8.07964e+11,0.00591782,
8,8.07964e+11,0.00324701,
16,8.07964e+11,0.0020567,
1,8.07964e+11,0.0116654,
2,8.07964e+11,0.0105106,
4,8.07964e+11,0.00533464,
8,8.07964e+11,0.00309422,
16,8.07964e+11,0.00209494,
1,8.07964e+11,0.01143,
2,8.07964e+11,0.00976032,
4,8.07964e+11,0.00691332,
8,8.07964e+11,0.00327816,
16,8.07964e+11,0.00218192,
1,8.07964e+11,0.0112154,
2,8.07964e+11,0.00881576,
4,8.07964e+11,0.00668325,
8,8.07964e+11,0.00338619,
16,8.07964e+11,0.00197293,
1,8.07964e+11,0.0114105,
2,8.07964e+11,0.00840435,
4,8.07964e+11,0.00603976,
8,8.07964e+11,0.00307944,
16,8.07964e+11,0.00218324,
1,8.07964e+11,0.011358,
2,8.07964e+11,0.00838939,
4,8.07964e+11,0.00522815,
8,8.07964e+11,0.00291049,
16,8.07964e+11,0.00209324,
1,8.07964e+11,0.0114441,
2,8.07964e+11,0.0110775,
4,8.07964e+11,0.00575664,
8,8.07964e+11,0.00324733,
16,8.07964e+11,0.00222383,
1,8.07964e+11,0.0114363,
2,8.07964e+11,0.0117758,
4,8.07964e+11,0.00566805,
8,8.07964e+11,0.00321795,
16,8.07964e+11,0.00207426,
1,8.07964e+11,0.0121336,
2,8.07964e+11,0.0110642,
4,8.07964e+11,0.00566779,
8,8.07964e+11,0.00331922,
16,8.07964e+11,0.00223826,
1,8.07964e+11,0.0113333,
2,8.07964e+11,0.0103564,
4,8.07964e+11,0.00600998,
8,8.07964e+11,0.00323607,
16,8.07964e+11,0.00208418,
1,8.07964e+11,0.0113009,
2,8.07964e+11,0.00920618,
4,8.07964e+11,0.00564247,
8,8.07964e+11,0.00340409,
16,8.07964e+11,0.00231264,
1,8.07964e+11,0.0114888,
2,8.07964e+11,0.00836868,
4,8.07964e+11,0.00548552,
8,8.07964e+11,0.00367796,
16,8.07964e+11,0.00223957,
1,8.07964e+11,0.0113033,
2,8.07964e+11,0.0078993,
4,8.07964e+11,0.00578753,
8,8.07964e+11,0.00345968,
16,8.07964e+11,0.00209397,
1,8.07964e+11,0.0113555,
2,8.07964e+11,0.00797852,
4,8.07964e+11,0.00629306,
8,8.07964e+11,0.00364434,
16,8.07964e+11,0.00221933,
1,8.07964e+11,0.0111978,
2,8.07964e+11,0.00798284,
4,8.07964e+11,0.00598238,
8,8.07964e+11,0.00372181,
16,8.07964e+11,0.00210803,
1,8.07964e+11,0.0112962,
2,8.07964e+11,0.00787858,
4,8.07964e+11,0.00650668,
8,8.07964e+11,0.00337924,
16,8.07964e+11,0.00207776,
1,8.07964e+11,0.0113818,
2,8.07964e+11,0.0102789,
4,8.07964e+11,0.00658187,
8,8.07964e+11,0.00331392,
16,8.07964e+11,0.00203236,
1,8.07964e+11,0.0112736,
2,8.07964e+11,0.0125395,
4,8.07964e+11,0.00637296,
8,8.07964e+11,0.00311903,
16,8.07964e+11,0.00220595,
1,8.07964e+11,0.0116304,
2,8.07964e+11,0.0108584,
4,8.07964e+11,0.00527074,
8,8.07964e+11,0.00291722,
16,8.07964e+11,0.00214093,
1,8.07964e+11,0.0112712,
2,8.07964e+11,0.00977618,
4,8.07964e+11,0.00504036,
8,8.07964e+11,0.00278559,
16,8.07964e+11,0.00214974,
1,8.07964e+11,0.0115436,
2,8.07964e+11,0.00990537,
4,8.07964e+11,0.00493647,
8,8.07964e+11,0.00305424,
16,8.07964e+11,0.0021349,
1,8.07964e+11,0.0113439,
2,8.07964e+11,0.0103417,
4,8.07964e+11,0.00565106,
8,8.07964e+11,0.00286032,
